Att,Disp,Min_BER,MAX_Q_FACTOR
0.19,16.15,0.000068,0.3804303
0.19,16.35,0.00007,0.3797992
0.19,16.55,0.000019,0.4100584
0.19,16.75,0.000089,0.3738881
0.19,16.95,0.000235,0.3492067
0.19,17.15,0.000212,0.3512574
0.19,17.35,0.000072,0.3794181
0.19,17.55,0.000065,0.3819398
0.19,17.65,0.000134,0.3634535
0.2,12.75,0,0.5082549
0.2,12.75,0,0.5082549
0.2,12.95,0.000003,0.4499709
0.2,12.95,0.000003,0.4499709
0.2,13.15,0.000001,0.4684452
0.2,13.15,0.000001,0.4684452
0.2,13.35,0.000007,0.4335779
0.2,13.35,0.000007,0.4335779
0.2,13.55,0.000001,0.4826654
0.2,13.55,0.000001,0.4826654
0.2,13.75,0.000001,0.4723774
0.2,13.75,0.000001,0.4723774
0.2,13.95,0.000009,0.4283466
0.2,13.95,0.000009,0.4283466
0.2,14.15,0.000005,0.4431182
0.2,14.15,0.000005,0.4431182
0.2,14.35,0.000011,0.4243904
0.2,14.35,0.000011,0.4243904
0.2,14.55,0.000003,0.4537422
0.2,14.55,0.000003,0.4537422
0.2,14.75,0.000003,0.4522835
0.2,14.75,0.000003,0.4522835
0.2,14.95,0.000042,0.3930505
0.2,14.95,0.000042,0.3930505
0.2,15.15,0.000019,0.4117771
0.2,15.15,0.000019,0.4117771
0.2,15.35,0.000041,0.3933169
0.2,15.35,0.000041,0.3933169
0.2,15.55,0.000011,0.4234364
0.2,15.55,0.000011,0.4234364
0.2,15.75,0.000027,0.4030532
0.2,15.75,0.000027,0.4030532
0.2,15.95,0.000074,0.3788289
0.2,15.95,0.000074,0.3788289
0.2,16.15,0.000135,0.3629735
0.2,16.15,0.000135,0.3629735
0.2,16.35,0.000148,0.361037
0.2,16.35,0.000148,0.361037
0.2,16.55,0.000031,0.3989648
0.2,16.55,0.000031,0.3989648
0.2,16.75,0.000162,0.3586179
0.2,16.75,0.000162,0.3586179
0.2,16.95,0.000427,0.3330602
0.2,16.95,0.000427,0.3330602
0.2,17.15,0.000368,0.3364639
0.2,17.15,0.000368,0.3364639
0.2,17.35,0.000121,0.3663765
0.2,17.35,0.000121,0.3663765
0.2,17.55,0.000093,0.372907
0.2,17.55,0.000093,0.372907
0.2,17.65,0.00021,0.3519365
0.2,17.65,0.00021,0.3519365
0.21,12.75,0.000001,0.4741797
0.21,12.95,0.000016,0.4151443
0.21,13.15,0.000006,0.4371514
0.21,13.35,0.000031,0.4003408
0.21,13.55,0.000003,0.454715
0.21,13.75,0.000005,0.4411623
0.21,13.95,0.000033,0.3980859
0.21,14.15,0.000015,0.4163241
0.21,14.35,0.000038,0.3954247
0.21,14.55,0.000008,0.4313184
0.21,14.75,0.000009,0.428303
0.21,14.95,0.000121,0.3669235
0.21,15.15,0.00005,0.3884307
0.21,15.35,0.000114,0.3681905
0.21,15.55,0.000026,0.4042723
0.21,15.75,0.000068,0.3811978
0.21,15.95,0.000174,0.3572003
0.21,16.15,0.000296,0.3423574
0.21,16.35,0.000343,0.3387259
0.21,16.55,0.000058,0.3843551
0.21,16.75,0.000322,0.3404265
0.21,16.95,0.000828,0.3143169
0.21,17.15,0.000686,0.319026
0.21,17.35,0.000232,0.3495241
0.21,17.55,0.000151,0.3606635
0.21,17.65,0.000364,0.3372416
0.22,12.75,0.000007,0.4349594
0.22,12.95,0.000078,0.3771652
0.22,13.15,0.000028,0.4017763
0.22,13.35,0.000133,0.3642594
0.22,13.55,0.000012,0.4220418
